Unnamed: 0,Released,Released.1,Title,Genre,Production Method,Creative Type,Production Budget,Domestic Box Office,International Box Office,Worldwide Box Office
8,"Jun 15, 2005",2005,Batman Begins,Action,Live Action,Super Hero,"$150,000,000","$205,343,774","$151,426,819","$356,770,593"
9,"May 27, 2005",2005,Madagascar,Adventure,Digital Animation,Kids Fiction,"$75,000,000","$193,595,521","$362,964,045","$556,559,566"
10,"Jun 10, 2005",2005,Mr. and Mrs. Smith,Action,Live Action,Contemporary Fiction,"$110,000,000","$186,336,279","$299,787,811","$486,124,090"
11,"Feb 11, 2005",2005,Hitch,Romantic Comedy,Live Action,Contemporary Fiction,"$55,000,000","$177,784,257","$189,000,000","$366,784,257"
12,"May 27, 2005",2005,The Longest Yard,Comedy,Live Action,Contemporary Fiction,"$82,000,000","$158,119,460","$33,439,045","$191,558,505"
13,"Jul 8, 2005",2005,Fantastic Four,Action,Live Action,Super Hero,"$87,500,000","$154,696,080","$178,436,670","$333,132,750"
14,"Nov 4, 2005",2005,Chicken Little,Adventure,Digital Animation,Kids Fiction,"$150,000,000","$135,386,665","$174,657,158","$310,043,823"
15,"Mar 11, 2005",2005,Robots,Adventure,Digital Animation,Kids Fiction,"$80,000,000","$128,200,012","$132,436,259","$260,636,271"
16,"Nov 18, 2005",2005,Walk the Line,Drama,Live Action,Dramatization,"$29,000,000","$119,519,402","$68,188,093","$187,707,495"
17,"Mar 4, 2005",2005,The Pacifier,Comedy,Live Action,Contemporary Fiction,"$56,000,000","$113,006,880","$85,000,000","$198,006,880"
18,"Dec 21, 2005",2005,Fun With Dick And Jane,Comedy,Live Action,Contemporary Fiction,"$140,000,000","$110,550,000","$92,468,919","$203,018,919"
19,"Aug 19, 2005",2005,The 40 Year-old Virgin,Comedy,Live Action,Contemporary Fiction,"$26,000,000","$109,449,237","$66,827,602","$176,276,839"
20,"Sep 23, 2005",2005,Flightplan,Thriller/Suspense,Live Action,Contemporary Fiction,"$55,000,000","$89,706,988","$124,685,916","$214,392,904"
21,"Oct 28, 2005",2005,Saw II,Horror,Live Action,Contemporary Fiction,"$5,000,000","$87,025,093","$65,900,000","$152,925,093"
22,"Dec 9, 2005",2005,Brokeback Mountain,Drama,Live Action,Historical Fiction,"$13,900,000","$83,043,761","$93,937,102","$176,980,863"
23,"May 13, 2005",2005,Monster-in-Law,Comedy,Live Action,Contemporary Fiction,"$45,000,000","$82,931,301","$73,000,000","$155,931,301"
24,"Jan 21, 2005",2005,Are We There Yet?,Romantic Comedy,Live Action,Kids Fiction,"$20,000,000","$82,674,398","$15,440,073","$98,114,471"
25,"Dec 21, 2005",2005,Cheaper by the Dozen 2,Adventure,Live Action,Contemporary Fiction,"$60,000,000","$82,571,173","$52,444,157","$135,015,330"
26,"Aug 5, 2005",2005,The Dukes of Hazzard,Comedy,Live Action,Contemporary Fiction,"$53,000,000","$80,270,227","$29,578,234","$109,848,461"
27,"Jun 24, 2005",2005,La marche de l'empereur,Documentary,Live Action,Factual,"$3,400,000","$77,437,223","$55,839,136","$133,276,359"
28,"Feb 18, 2005",2005,Constantine,Action,Live Action,Contemporary Fiction,"$75,000,000","$75,976,178","$145,617,376","$221,593,554"
29,"Mar 18, 2005",2005,The Ring Two,Horror,Live Action,Contemporary Fiction,"$50,000,000","$75,941,727","$86,000,000","$161,941,727"
30,"Sep 9, 2005",2005,The Exorcism of Emily Rose,Horror,Live Action,Dramatization,"$18,000,000","$75,072,454","$69,456,624","$144,529,078"
31,"Aug 12, 2005",2005,Four Brothers,Thriller/Suspense,Live Action,Contemporary Fiction,"$30,000,000","$74,494,381","$18,000,000","$92,494,381"
32,"Apr 1, 2005",2005,Sin City,Thriller/Suspense,Live Action,Fantasy,"$40,000,000","$74,103,820","$84,424,098","$158,527,918"
33,"Apr 22, 2005",2005,The Interpreter,Thriller/Suspense,Live Action,Contemporary Fiction,"$90,000,000","$72,708,161","$90,045,676","$162,753,837"
34,"Mar 25, 2005",2005,Guess Who,Comedy,Live Action,Contemporary Fiction,"$35,000,000","$68,915,888","$33,200,000","$102,115,888"
35,"Apr 8, 2005",2005,Sahara,Adventure,Live Action,Contemporary Fiction,"$145,000,000","$68,671,925","$52,973,465","$121,645,390"
36,"Jan 14, 2005",2005,Coach Carter,Drama,Live Action,Contemporary Fiction,"$45,000,000","$67,264,877","$9,400,630","$76,665,507"
37,"Jun 22, 2005",2005,Herbie: Fully Loaded,Adventure,Live Action,Kids Fiction,"$50,000,000","$66,010,682","$78,100,000","$144,110,682"
38,"Apr 15, 2005",2005,The Amityville Horror,Horror,Live Action,Historical Fiction,"$18,500,000","$65,233,369","$43,942,304","$109,175,673"
39,"Jul 29, 2005",2005,Sky High,Adventure,Live Action,Super Hero,"$35,000,000","$63,939,454","$19,169,905","$83,109,359"
40,"Jun 24, 2005",2005,Bewitched,Comedy,Live Action,Fantasy,"$80,000,000","$63,313,159","$67,846,147","$131,159,306"
41,"Nov 4, 2005",2005,Jarhead,Drama,Live Action,Dramatization,"$72,000,000","$62,647,540","$34,300,000","$96,947,540"
42,"Jun 3, 2005",2005,Cinderella Man,Drama,Live Action,Dramatization,"$88,000,000","$61,649,911","$43,371,577","$105,021,488"
43,"Dec 16, 2005",2005,The Family Stone,Comedy,Live Action,Contemporary Fiction,"$18,000,000","$60,062,868","$32,294,631","$92,357,499"
44,"Aug 19, 2005",2005,Red Eye,Thriller/Suspense,Live Action,Contemporary Fiction,"$26,000,000","$57,891,803","$38,774,683","$96,666,486"
45,"Dec 9, 2005",2005,Memoirs of a Geisha,Drama,Live Action,Historical Fiction,"$85,000,000","$57,010,853","$104,500,000","$161,510,853"
46,"Jan 7, 2005",2005,White Noise,Horror,Live Action,Contemporary Fiction,"$10,000,000","$56,094,360","$36,000,000","$92,094,360"
47,"Oct 5, 2005",2005,Wallace & Gromit: The Curse of the We…,Adventure,Stop-Motion Animation,Kids Fiction,"$30,000,000","$56,068,547","$141,524,605","$197,593,152"
48,"Mar 4, 2005",2005,Be Cool,Comedy,Live Action,Contemporary Fiction,"$75,000,000","$55,849,401","$39,094,616","$94,944,017"
49,"May 6, 2005",2005,Crash,Drama,Live Action,Contemporary Fiction,"$7,303,082","$55,334,418","$45,838,620","$101,173,038"
50,"Nov 23, 2005",2005,"Yours, Mine and Ours",Comedy,Live Action,Contemporary Fiction,"$45,000,000","$53,359,917","$19,000,000","$72,359,917"
51,"Sep 23, 2005",2005,Corpse Bride,Adventure,Stop-Motion Animation,Fantasy,"$30,000,000","$53,359,111","$61,411,543","$114,770,654"
52,"May 13, 2005",2005,Kicking and Screaming,Comedy,Live Action,Contemporary Fiction,"$45,000,000","$52,842,724","$3,000,000","$55,842,724"
53,"Jan 28, 2005",2005,Hide and Seek,Horror,Live Action,Contemporary Fiction,"$25,000,000","$51,100,486","$72,596,255","$123,696,741"
54,"Apr 29, 2005",2005,The Hitchhiker's Guide to the Galaxy,Adventure,Animation/Live Action,Science Fiction,"$45,000,000","$51,019,112","$51,727,102","$102,746,214"
55,"Nov 23, 2005",2005,Syriana,Thriller/Suspense,Live Action,Contemporary Fiction,"$50,000,000","$50,824,620","$41,866,339","$92,690,959"
56,"Feb 25, 2005",2005,Diary of a Mad Black Woman,Drama,Live Action,Contemporary Fiction,"$5,500,000","$50,406,346","$52,010","$50,458,356"
57,"Jan 14, 2005",2005,Racing Stripes,Adventure,Animation/Live Action,Kids Fiction,"$30,000,000","$49,772,522","$40,036,911","$89,809,433"
58,"Mar 24, 2005",2005,Miss Congeniality 2: Armed and Fabulous,Comedy,Live Action,Contemporary Fiction,"$60,000,000","$48,478,006","$52,814,337","$101,292,343"
59,"Sep 16, 2005",2005,Just Like Heaven,Romantic Comedy,Live Action,Contemporary Fiction,"$58,000,000","$48,318,130","$52,368,953","$100,687,083"
60,"Aug 12, 2005",2005,The Skeleton Key,Horror,Live Action,Contemporary Fiction,"$40,000,000","$47,907,715","$44,349,203","$92,256,918"
61,"May 6, 2005",2005,Kingdom of Heaven,Action,Live Action,Historical Fiction,"$110,000,000","$47,398,413","$171,276,525","$218,674,938"
62,"Dec 23, 2005",2005,Munich,Thriller/Suspense,Live Action,Dramatization,"$75,000,000","$47,379,090","$84,113,682","$131,492,772"
63,"Feb 4, 2005",2005,Boogeyman,Horror,Live Action,Contemporary Fiction,"$20,000,000","$46,752,382","$20,440,477","$67,192,859"
64,"Oct 28, 2005",2005,The Legend of Zorro,Adventure,Live Action,Historical Fiction,"$80,000,000","$45,575,336","$95,900,000","$141,475,336"
65,"Jul 29, 2005",2005,Must Love Dogs,Romantic Comedy,Live Action,Contemporary Fiction,"$35,000,000","$43,894,863","$14,510,450","$58,405,313"
66,"Sep 2, 2005",2005,The Transporter 2,Action,Live Action,Contemporary Fiction,"$32,000,000","$43,095,856","$45,882,602","$88,978,458"
67,"Dec 25, 2005",2005,Rumor Has It,Comedy,Live Action,Contemporary Fiction,"$70,000,000","$42,996,140","$45,937,422","$88,933,562"
68,"Apr 8, 2005",2005,Fever Pitch,Romantic Comedy,Live Action,Contemporary Fiction,"$40,000,000","$42,071,069","$8,000,000","$50,071,069"
69,"Jun 10, 2005",2005,The Adventures of Sharkboy and Lavagi…,Adventure,Live Action,Kids Fiction,"$50,000,000","$39,177,684","$30,248,282","$69,425,966"
70,"Jun 1, 2005",2005,The Sisterhood of the Traveling Pants,Drama,Live Action,Contemporary Fiction,"$25,000,000","$39,053,061","$2,507,056","$41,560,117"
71,"Nov 11, 2005",2005,Pride & Prejudice,Drama,Live Action,Historical Fiction,"$28,000,000","$38,372,662","$88,176,945","$126,549,607"
72,"Aug 26, 2005",2005,The Brothers Grimm,Adventure,Live Action,Fantasy,"$80,000,000","$37,899,638","$67,400,000","$105,299,638"
73,"Mar 30, 2005",2005,Beauty Shop,Comedy,Live Action,Contemporary Fiction,"$25,000,000","$36,351,350","$2,000,000","$38,351,350"
74,"Nov 11, 2005",2005,Derailed,Thriller/Suspense,Live Action,Contemporary Fiction,"$22,000,000","$36,020,063","$21,500,000","$57,520,063"
75,"Jul 22, 2005",2005,The Island,Action,Live Action,Science Fiction,"$120,000,000","$35,818,913","$127,200,000","$163,018,913"
76,"Dec 23, 2005",2005,The Ringer,Comedy,Live Action,Contemporary Fiction,$0,"$35,428,675","$5,013,762","$40,442,437"
77,"Mar 11, 2005",2005,Hostage,Action,Live Action,Contemporary Fiction,"$75,000,000","$34,636,443","$43,000,000","$77,636,443"
78,"Sep 23, 2005",2005,Magnificent Desolation,Documentary,Live Action,Factual,$0,"$34,126,126","$5,720,770","$39,846,896"
79,"Aug 31, 2005",2005,The Constant Gardener,Thriller/Suspense,Live Action,Historical Fiction,"$25,500,000","$33,579,798","$52,721,801","$86,301,599"
80,"Oct 21, 2005",2005,Dreamer: Inspired by a True Story,Drama,Live Action,Dramatization,"$32,000,000","$33,022,286","$6,476,074","$39,498,360"
81,"Oct 7, 2005",2005,In Her Shoes,Drama,Live Action,Contemporary Fiction,$0,"$32,880,591","$49,322,439","$82,203,030"
82,"Jul 22, 2005",2005,The Bad News Bears,Comedy,Live Action,Contemporary Fiction,"$35,000,000","$32,868,349","$632,271","$33,500,620"
83,"Feb 18, 2005",2005,Because of Winn-Dixie,Comedy,Live Action,Contemporary Fiction,"$15,000,000","$32,647,042","$861,443","$33,508,485"
84,"Nov 23, 2005",2005,Just Friends,Romantic Comedy,Live Action,Contemporary Fiction,$0,"$32,596,916","$10,200,763","$42,797,679"
85,"Jul 29, 2005",2005,Stealth,Action,Live Action,Science Fiction,"$138,000,000","$32,116,746","$44,300,000","$76,416,746"
86,"May 6, 2005",2005,House of Wax,Horror,Live Action,Contemporary Fiction,"$35,000,000","$32,064,800","$38,000,000","$70,064,800"
87,"Feb 4, 2005",2005,The Wedding Date,Romantic Comedy,Live Action,Contemporary Fiction,"$15,000,000","$31,726,995","$15,448,043","$47,175,038"
88,"Oct 7, 2005",2005,"Good Night, and Good Luck",Drama,Live Action,Dramatization,"$7,000,000","$31,501,218","$25,085,683","$56,586,901"
89,"Sep 23, 2005",2005,A History of Violence,Thriller/Suspense,Live Action,Contemporary Fiction,"$32,000,000","$31,493,782","$29,984,015","$61,477,797"
90,"Nov 9, 2005",2005,Get Rich or Die Tryin',Drama,Live Action,Contemporary Fiction,"$40,000,000","$30,981,850","$15,685,105","$46,666,955"
91,"Oct 14, 2005",2005,The Fog,Horror,Live Action,Contemporary Fiction,"$18,000,000","$29,511,112","$7,537,414","$37,048,526"
92,"Nov 23, 2005",2005,Rent,Musical,Live Action,Historical Fiction,"$40,000,000","$29,077,547","$2,593,073","$31,670,620"
93,"Sep 30, 2005",2005,Capote,Drama,Live Action,Dramatization,"$7,000,000","$28,750,530","$21,173,549","$49,924,079"
94,"Oct 21, 2005",2005,Doom,Horror,Live Action,Science Fiction,"$70,000,000","$28,212,337","$30,544,841","$58,757,178"
95,"Nov 11, 2005",2005,Zathura,Adventure,Animation/Live Action,Fantasy,"$65,000,000","$28,045,540","$30,500,000","$58,545,540"
96,"Apr 29, 2005",2005,XXX: State of the Union,Action,Live Action,Contemporary Fiction,"$60,000,000","$26,873,932","$44,200,000","$71,073,932"
97,"Oct 14, 2005",2005,Elizabethtown,Drama,Live Action,Contemporary Fiction,"$54,000,000","$26,850,426","$23,868,947","$50,719,373"
98,"Dec 2, 2005",2005,Aeon Flux,Action,Live Action,Science Fiction,"$55,000,000","$25,857,987","$28,055,586","$53,913,573"
99,"Sep 30, 2005",2005,Serenity,Action,Animation/Live Action,Science Fiction,"$39,000,000","$25,514,517","$14,804,923","$40,319,440"
100,"Jul 8, 2005",2005,Dark Water,Horror,Live Action,Fantasy,"$60,000,000","$25,473,093","$24,000,000","$49,473,093"
1,"Jul 7, 2006",2006,Pirates of the Caribbean: Dead Man’…,Adventure,Live Action,Historical Fiction,"$225,000,000","$423,315,812","$642,863,913","$1,066,179,725"
2,"Dec 22, 2006",2006,Night at the Museum,Adventure,Live Action,Kids Fiction,"$110,000,000","$250,863,268","$328,583,139","$579,446,407"
3,"Jun 9, 2006",2006,Cars,Adventure,Digital Animation,Kids Fiction,"$70,000,000","$244,082,982","$217,547,576","$461,630,558"
4,"May 26, 2006",2006,X-Men: The Last Stand,Action,Live Action,Super Hero,"$210,000,000","$234,362,462","$224,898,484","$459,260,946"
5,"May 19, 2006",2006,The Da Vinci Code,Thriller/Suspense,Live Action,Contemporary Fiction,"$125,000,000","$217,536,138","$550,284,321","$767,820,459"
6,"Jun 28, 2006",2006,Superman Returns,Adventure,Live Action,Super Hero,"$232,000,000","$200,120,000","$190,961,192","$391,081,192"
7,"Nov 17, 2006",2006,Happy Feet,Adventure,Digital Animation,Kids Fiction,"$85,000,000","$198,000,317","$186,999,998","$385,000,315"
8,"Mar 31, 2006",2006,Ice Age: The Meltdown,Adventure,Digital Animation,Kids Fiction,"$75,000,000","$195,330,621","$456,568,661","$651,899,282"
9,"Nov 17, 2006",2006,Casino Royale,Action,Live Action,Contemporary Fiction,"$102,000,000","$167,365,000","$427,055,216","$594,420,216"
10,"Dec 15, 2006",2006,The Pursuit of Happyness,Drama,Live Action,Dramatization,"$55,000,000","$162,586,036","$144,725,057","$307,311,093"
11,"May 19, 2006",2006,Over the Hedge,Adventure,Digital Animation,Kids Fiction,"$80,000,000","$155,019,340","$188,377,907","$343,397,247"
12,"Aug 4, 2006",2006,Talladega Nights: The Ballad of Ricky…,Comedy,Live Action,Contemporary Fiction,"$73,000,000","$148,213,377","$14,657,148","$162,870,525"
13,"Jun 23, 2006",2006,Click,Comedy,Live Action,Fantasy,"$82,500,000","$137,355,633","$100,329,456","$237,685,089"
14,"May 5, 2006",2006,Mission: Impossible III,Action,Live Action,Contemporary Fiction,"$150,000,000","$133,501,348","$265,886,397","$399,387,745"
15,"Oct 6, 2006",2006,The Departed,Drama,Live Action,Contemporary Fiction,"$90,000,000","$132,384,315","$157,276,304","$289,660,619"
16,"Nov 3, 2006",2006,Borat,Comedy,Live Action,Contemporary Fiction,"$18,000,000","$128,505,958","$132,937,284","$261,443,242"
17,"Jun 30, 2006",2006,The Devil Wears Prada,Comedy,Live Action,Contemporary Fiction,"$35,000,000","$124,740,460","$201,332,695","$326,073,155"
18,"Jun 2, 2006",2006,The Break-Up,Romantic Comedy,Live Action,Contemporary Fiction,"$52,000,000","$118,703,275","$87,024,032","$205,727,307"
19,"Dec 15, 2006",2006,Dreamgirls,Musical,Live Action,Historical Fiction,"$75,000,000","$103,365,956","$52,254,394","$155,620,350"
20,"Apr 14, 2006",2006,Scary Movie 4,Comedy,Live Action,Contemporary Fiction,"$40,000,000","$90,710,620","$88,000,000","$178,710,620"
21,"Mar 10, 2006",2006,Failure to Launch,Romantic Comedy,Live Action,Contemporary Fiction,"$50,000,000","$88,715,192","$39,687,709","$128,402,901"
22,"Mar 24, 2006",2006,Inside Man,Thriller/Suspense,Live Action,Contemporary Fiction,"$50,000,000","$88,634,237","$97,164,028","$185,798,265"
23,"Sep 29, 2006",2006,Open Season,Adventure,Digital Animation,Kids Fiction,"$85,000,000","$85,105,259","$106,826,899","$191,932,158"
24,"Nov 3, 2006",2006,The Santa Clause 3: The Escape Clause,Adventure,Live Action,Kids Fiction,$0,"$84,500,122","$23,000,000","$107,500,122"
25,"Dec 15, 2006",2006,Charlotte's Web,Drama,Live Action,Kids Fiction,"$82,500,000","$82,985,708","$61,000,000","$143,985,708"
26,"Feb 10, 2006",2006,The Pink Panther,Adventure,Live Action,Historical Fiction,"$80,000,000","$82,226,474","$76,700,000","$158,926,474"
27,"Feb 17, 2006",2006,Eight Below,Adventure,Live Action,Contemporary Fiction,"$40,000,000","$81,612,565","$38,843,429","$120,455,994"
28,"Oct 27, 2006",2006,Saw III,Horror,Live Action,Contemporary Fiction,"$10,000,000","$80,238,724","$83,638,091","$163,876,815"
29,"Jun 16, 2006",2006,Nacho Libre,Comedy,Live Action,Contemporary Fiction,"$32,000,000","$80,197,993","$19,098,469","$99,296,462"
30,"Jul 14, 2006",2006,"You, Me and Dupree",Comedy,Live Action,Contemporary Fiction,"$54,000,000","$75,802,010","$54,600,000","$130,402,010"
31,"Dec 15, 2006",2006,Eragon,Adventure,Animation/Live Action,Fantasy,"$100,000,000","$75,030,163","$174,457,952","$249,488,115"
32,"Jul 21, 2006",2006,Monster House,Adventure,Digital Animation,Kids Fiction,"$75,000,000","$73,661,010","$67,606,360","$141,267,370"
33,"Aug 4, 2006",2006,Barnyard: The Original Party Animals,Adventure,Digital Animation,Kids Fiction,"$51,000,000","$72,779,000","$45,804,844","$118,583,844"
34,"Sep 22, 2006",2006,Jackass: Number Two,Documentary,Live Action,Factual,"$11,000,000","$72,778,712","$12,500,000","$85,278,712"
35,"Apr 28, 2006",2006,R.V.,Adventure,Live Action,Contemporary Fiction,"$55,000,000","$71,724,497","$15,748,527","$87,473,024"
36,"Mar 17, 2006",2006,V for Vendetta,Action,Live Action,Science Fiction,"$50,000,000","$70,511,035","$59,703,127","$130,214,162"
37,"Aug 9, 2006",2006,World Trade Center,Drama,Live Action,Dramatization,"$65,000,000","$70,278,893","$93,016,761","$163,295,654"
38,"Dec 20, 2006",2006,Rocky Balboa,Drama,Live Action,Contemporary Fiction,"$24,000,000","$70,269,899","$85,959,151","$156,229,050"
39,"Jan 27, 2006",2006,Big Momma's House 2,Comedy,Live Action,Contemporary Fiction,"$40,000,000","$70,165,972","$66,881,404","$137,047,376"
40,"Aug 11, 2006",2006,Step Up,Drama,Live Action,Contemporary Fiction,"$12,000,000","$65,328,121","$45,661,036","$110,989,157"
41,"Nov 3, 2006",2006,Flushed Away,Adventure,Digital Animation,Kids Fiction,"$149,000,000","$64,665,672","$114,691,454","$179,357,126"
42,"Nov 22, 2006",2006,Déjà Vu,Thriller/Suspense,Live Action,Science Fiction,"$80,000,000","$64,038,616","$117,000,000","$181,038,616"
43,"Mar 3, 2006",2006,Deep Sea 3D,Documentary,Live Action,Factual,$0,"$63,857,503","$41,778,182","$105,635,685"
44,"Jul 28, 2006",2006,Miami Vice,Action,Live Action,Contemporary Fiction,"$135,000,000","$63,478,838","$101,441,238","$164,920,076"
45,"Dec 8, 2006",2006,The Holiday,Romantic Comedy,Live Action,Contemporary Fiction,"$85,000,000","$63,280,000","$141,640,447","$204,920,447"
46,"Feb 24, 2006",2006,Madea's Family Reunion,Comedy,Live Action,Contemporary Fiction,"$10,000,000","$63,257,940","$62,581","$63,320,521"
47,"Jun 16, 2006",2006,The Fast and the Furious: Tokyo Drift,Action,Live Action,Contemporary Fiction,"$85,000,000","$62,615,510","$95,178,695","$157,794,205"
48,"Jan 20, 2006",2006,Underworld: Evolution,Action,Live Action,Fantasy,"$45,000,000","$62,318,875","$51,098,887","$113,417,762"
49,"Mar 10, 2006",2006,The Shaggy Dog,Comedy,Live Action,Fantasy,"$60,000,000","$61,123,569","$26,000,000","$87,123,569"
50,"May 12, 2006",2006,Poseidon,Adventure,Live Action,Contemporary Fiction,"$160,000,000","$60,674,817","$121,000,000","$181,674,817"
51,"Dec 22, 2006",2006,The Good Shepherd,Drama,Live Action,Dramatization,"$80,000,000","$59,908,565","$40,469,706","$100,378,271"
52,"Jul 26, 2006",2006,Little Miss Sunshine,Comedy,Live Action,Contemporary Fiction,"$8,000,000","$59,891,098","$40,751,255","$100,642,353"
53,"Apr 7, 2006",2006,The Benchwarmers,Comedy,Live Action,Contemporary Fiction,"$35,000,000","$59,843,754","$5,219,972","$65,063,726"
54,"Feb 10, 2006",2006,Curious George,Adventure,Hand Animation,Contemporary Fiction,"$50,000,000","$58,640,119","$12,412,485","$71,052,604"
55,"Jul 14, 2006",2006,Little Man,Comedy,Live Action,Contemporary Fiction,"$64,000,000","$58,636,047","$43,000,000","$101,636,047"
56,"Aug 25, 2006",2006,Invincible,Drama,Live Action,Dramatization,"$40,000,000","$57,806,952","$694,175","$58,501,127"
57,"Dec 8, 2006",2006,Blood Diamond,Action,Live Action,Historical Fiction,"$100,000,000","$57,377,916","$114,000,000","$171,377,916"
58,"Sep 30, 2006",2006,The Queen,Drama,Live Action,Dramatization,"$15,000,000","$56,441,711","$72,444,162","$128,885,873"
59,"Sep 29, 2006",2006,The Guardian,Action,Live Action,Contemporary Fiction,"$70,000,000","$55,011,732","$39,961,808","$94,973,540"
60,"Jun 6, 2006",2006,The Omen,Horror,Live Action,Contemporary Fiction,"$25,000,000","$54,607,383","$64,688,201","$119,295,584"
61,"Feb 10, 2006",2006,Final Destination 3,Horror,Live Action,Contemporary Fiction,"$25,000,000","$54,098,051","$58,700,000","$112,798,051"
62,"Oct 20, 2006",2006,The Prestige,Thriller/Suspense,Live Action,Historical Fiction,"$40,000,000","$53,089,891","$51,317,475","$104,407,366"
63,"Jun 16, 2006",2006,The Lake House,Drama,Live Action,Contemporary Fiction,"$40,000,000","$52,330,111","$62,500,000","$114,830,111"
64,"Jan 13, 2006",2006,Hoodwinked,Adventure,Digital Animation,Kids Fiction,"$17,500,000","$51,386,611","$58,456,779","$109,843,390"
65,"Dec 8, 2006",2006,Apocalypto,Action,Live Action,Historical Fiction,"$40,000,000","$50,866,635","$70,165,637","$121,032,272"
66,"Feb 10, 2006",2006,Firewall,Thriller/Suspense,Live Action,Contemporary Fiction,"$50,000,000","$48,751,189","$34,000,000","$82,751,189"
67,"Feb 17, 2006",2006,Date Movie,Comedy,Live Action,Contemporary Fiction,"$20,000,000","$48,548,426","$36,597,739","$85,146,165"
68,"Feb 3, 2006",2006,When a Stranger Calls,Horror,Live Action,Contemporary Fiction,"$15,000,000","$47,860,214","$19,355,221","$67,215,435"
69,"Jan 6, 2006",2006,Hostel,Horror,Live Action,Contemporary Fiction,"$4,800,000","$47,326,473","$34,914,637","$82,241,110"
70,"Jan 27, 2006",2006,Nanny McPhee,Adventure,Live Action,Fantasy,"$25,000,000","$47,279,279","$81,466,299","$128,745,578"
71,"Apr 21, 2006",2006,Silent Hill,Horror,Live Action,Contemporary Fiction,"$50,000,000","$46,982,632","$47,721,595","$94,704,227"
72,"Dec 22, 2006",2006,We Are Marshall,Drama,Live Action,Dramatization,"$65,000,000","$43,545,364",$0,"$43,545,364"
73,"Jan 13, 2006",2006,Glory Road,Drama,Live Action,Dramatization,"$30,000,000","$42,647,449","$151,611","$42,799,060"
74,"Jul 21, 2006",2006,Lady in the Water,Thriller/Suspense,Live Action,Fantasy,"$75,000,000","$42,285,169","$30,500,000","$72,785,169"
75,"Mar 10, 2006",2006,The Hills Have Eyes,Horror,Live Action,Contemporary Fiction,"$17,000,000","$41,778,863","$28,576,950","$70,355,813"
76,"Jul 28, 2006",2006,John Tucker Must Die,Romantic Comedy,Live Action,Contemporary Fiction,$0,"$41,011,711","$27,812,815","$68,824,526"
77,"Nov 10, 2006",2006,Stranger Than Fiction,Comedy,Live Action,Contemporary Fiction,"$30,000,000","$40,435,190","$13,137,632","$53,572,822"
78,"Aug 18, 2006",2006,The Illusionist,Drama,Live Action,Historical Fiction,"$16,500,000","$39,868,642","$43,923,420","$83,792,062"
79,"Oct 6, 2006",2006,The Texas Chainsaw Massacre: The Begi…,Horror,Live Action,Historical Fiction,"$16,000,000","$39,517,763","$11,000,000","$50,517,763"
80,"Oct 13, 2006",2006,The Grudge 2,Horror,Live Action,Contemporary Fiction,"$20,000,000","$39,143,839","$31,600,000","$70,743,839"
81,"Sep 15, 2006",2006,Gridiron Gang,Drama,Live Action,Dramatization,"$30,000,000","$38,432,823","$3,025,011","$41,457,834"
82,"Jan 13, 2006",2006,Last Holiday,Comedy,Live Action,Contemporary Fiction,"$45,000,000","$38,399,961","$4,943,286","$43,343,247"
83,"Dec 29, 2006",2006,El Laberinto del Fauno,Horror,Live Action,Historical Fiction,"$16,000,000","$37,634,615","$49,406,954","$87,041,569"
84,"Dec 1, 2006",2006,The Nativity Story,Drama,Live Action,Dramatization,"$35,000,000","$37,629,831","$8,679,813","$46,309,644"
85,"Oct 13, 2006",2006,Man of the Year,Comedy,Live Action,Contemporary Fiction,"$20,000,000","$37,442,180","$3,900,000","$41,342,180"
86,"Apr 14, 2006",2006,The Wild,Adventure,Digital Animation,Contemporary Fiction,"$80,000,000","$37,384,046","$61,626,621","$99,010,667"
87,"Mar 3, 2006",2006,16 Blocks,Action,Live Action,Contemporary Fiction,"$45,000,000","$36,895,141","$28,700,000","$65,595,141"
88,"Aug 18, 2006",2006,Accepted,Comedy,Live Action,Contemporary Fiction,$0,"$36,580,083","$1,734,720","$38,314,803"
89,"Apr 21, 2006",2006,The Sentinel,Thriller/Suspense,Live Action,Contemporary Fiction,"$60,000,000","$36,280,697","$41,800,000","$78,080,697"
90,"Dec 25, 2006",2006,Children of Men,Thriller/Suspense,Live Action,Science Fiction,"$76,000,000","$35,552,383","$34,292,628","$69,845,011"
91,"Nov 22, 2006",2006,Deck the Halls,Comedy,Live Action,Contemporary Fiction,"$51,000,000","$35,093,569","$11,722,238","$46,815,807"
92,"Apr 7, 2006",2006,Take the Lead,Drama,Live Action,Dramatization,"$30,000,000","$34,742,066","$30,648,427","$65,390,493"
93,"Oct 27, 2006",2006,Babel,Drama,Live Action,Contemporary Fiction,"$20,000,000","$34,302,837","$97,818,375","$132,121,212"
94,"Aug 18, 2006",2006,Snakes on a Plane,Thriller/Suspense,Live Action,Contemporary Fiction,"$33,000,000","$34,020,814","$28,000,000","$62,020,814"
95,"Mar 17, 2006",2006,She’s the Man,Romantic Comedy,Live Action,Contemporary Fiction,"$25,000,000","$33,889,159","$21,390,449","$55,279,608"
96,"Oct 20, 2006",2006,Flags of Our Fathers,Drama,Live Action,Historical Fiction,"$53,000,000","$33,602,376","$30,055,565","$63,657,941"
97,"Apr 28, 2006",2006,United 93,Drama,Live Action,Dramatization,"$18,000,000","$31,567,134","$46,067,901","$77,635,035"
