release_date,release_year,title,genre,production_method,creative_type,budget,domestic_gross,international_gross,worldwide_gross,release_month
2005-08-12,2005,Four Brothers,Thriller/Suspense,Live Action,Contemporary Fiction,30000000,74494381,18000000,92494381,August
2005-04-01,2005,Sin City,Thriller/Suspense,Live Action,Fantasy,40000000,74103820,84424098,158527918,April
2005-04-22,2005,The Interpreter,Thriller/Suspense,Live Action,Contemporary Fiction,90000000,72708161,90045676,162753837,April
2005-03-25,2005,Guess Who,Comedy,Live Action,Contemporary Fiction,35000000,68915888,33200000,102115888,March
2005-04-08,2005,Sahara,Adventure,Live Action,Contemporary Fiction,145000000,68671925,52973465,121645390,April
2005-01-14,2005,Coach Carter,Drama,Live Action,Contemporary Fiction,45000000,67264877,9400630,76665507,January
2005-06-22,2005,Herbie: Fully Loaded,Adventure,Live Action,Kids Fiction,50000000,66010682,78100000,144110682,June
2005-04-15,2005,The Amityville Horror,Horror,Live Action,Historical Fiction,18500000,65233369,43942304,109175673,April
2005-07-29,2005,Sky High,Adventure,Live Action,Super Hero,35000000,63939454,19169905,83109359,July
2005-06-24,2005,Bewitched,Comedy,Live Action,Fantasy,80000000,63313159,67846147,131159306,June
2005-11-04,2005,Jarhead,Drama,Live Action,Dramatization,72000000,62647540,34300000,96947540,November
2005-06-03,2005,Cinderella Man,Drama,Live Action,Dramatization,88000000,61649911,43371577,105021488,June
2005-12-16,2005,The Family Stone,Comedy,Live Action,Contemporary Fiction,18000000,60062868,32294631,92357499,December
2005-08-19,2005,Red Eye,Thriller/Suspense,Live Action,Contemporary Fiction,26000000,57891803,38774683,96666486,August
2005-12-09,2005,Memoirs of a Geisha,Drama,Live Action,Historical Fiction,85000000,57010853,104500000,161510853,December
2005-01-07,2005,White Noise,Horror,Live Action,Contemporary Fiction,10000000,56094360,36000000,92094360,January
2005-10-05,2005,Wallace & Gromit: The Curse of the We…,Adventure,Stop-Motion Animation,Kids Fiction,30000000,56068547,141524605,197593152,October
2005-03-04,2005,Be Cool,Comedy,Live Action,Contemporary Fiction,75000000,55849401,39094616,94944017,March
2005-05-06,2005,Crash,Drama,Live Action,Contemporary Fiction,7303082,55334418,45838620,101173038,May
2005-11-23,2005,"Yours, Mine and Ours",Comedy,Live Action,Contemporary Fiction,45000000,53359917,19000000,72359917,November
2005-09-23,2005,Corpse Bride,Adventure,Stop-Motion Animation,Fantasy,30000000,53359111,61411543,114770654,September
2005-05-13,2005,Kicking and Screaming,Comedy,Live Action,Contemporary Fiction,45000000,52842724,3000000,55842724,May
2005-01-28,2005,Hide and Seek,Horror,Live Action,Contemporary Fiction,25000000,51100486,72596255,123696741,January
2005-04-29,2005,The Hitchhiker's Guide to the Galaxy,Adventure,Animation/Live Action,Science Fiction,45000000,51019112,51727102,102746214,April
2005-11-23,2005,Syriana,Thriller/Suspense,Live Action,Contemporary Fiction,50000000,50824620,41866339,92690959,November
2005-02-25,2005,Diary of a Mad Black Woman,Drama,Live Action,Contemporary Fiction,5500000,50406346,52010,50458356,February
2005-01-14,2005,Racing Stripes,Adventure,Animation/Live Action,Kids Fiction,30000000,49772522,40036911,89809433,January
2005-03-24,2005,Miss Congeniality 2: Armed and Fabulous,Comedy,Live Action,Contemporary Fiction,60000000,48478006,52814337,101292343,March
2005-09-16,2005,Just Like Heaven,Romantic Comedy,Live Action,Contemporary Fiction,58000000,48318130,52368953,100687083,September
2005-08-12,2005,The Skeleton Key,Horror,Live Action,Contemporary Fiction,40000000,47907715,44349203,92256918,August
2005-05-06,2005,Kingdom of Heaven,Action,Live Action,Historical Fiction,110000000,47398413,171276525,218674938,May
2005-12-23,2005,Munich,Thriller/Suspense,Live Action,Dramatization,75000000,47379090,84113682,131492772,December
2005-02-04,2005,Boogeyman,Horror,Live Action,Contemporary Fiction,20000000,46752382,20440477,67192859,February
2005-10-28,2005,The Legend of Zorro,Adventure,Live Action,Historical Fiction,80000000,45575336,95900000,141475336,October
2005-07-29,2005,Must Love Dogs,Romantic Comedy,Live Action,Contemporary Fiction,35000000,43894863,14510450,58405313,July
2005-09-02,2005,The Transporter 2,Action,Live Action,Contemporary Fiction,32000000,43095856,45882602,88978458,September
2005-12-25,2005,Rumor Has It,Comedy,Live Action,Contemporary Fiction,70000000,42996140,45937422,88933562,December
2005-04-08,2005,Fever Pitch,Romantic Comedy,Live Action,Contemporary Fiction,40000000,42071069,8000000,50071069,April
2005-06-10,2005,The Adventures of Sharkboy and Lavagi…,Adventure,Live Action,Kids Fiction,50000000,39177684,30248282,69425966,June
2005-06-01,2005,The Sisterhood of the Traveling Pants,Drama,Live Action,Contemporary Fiction,25000000,39053061,2507056,41560117,June
2005-11-11,2005,Pride & Prejudice,Drama,Live Action,Historical Fiction,28000000,38372662,88176945,126549607,November
2005-08-26,2005,The Brothers Grimm,Adventure,Live Action,Fantasy,80000000,37899638,67400000,105299638,August
2005-03-30,2005,Beauty Shop,Comedy,Live Action,Contemporary Fiction,25000000,36351350,2000000,38351350,March
2005-11-11,2005,Derailed,Thriller/Suspense,Live Action,Contemporary Fiction,22000000,36020063,21500000,57520063,November
2005-07-22,2005,The Island,Action,Live Action,Science Fiction,120000000,35818913,127200000,163018913,July
2005-12-23,2005,The Ringer,Comedy,Live Action,Contemporary Fiction,0,35428675,5013762,40442437,December
2005-03-11,2005,Hostage,Action,Live Action,Contemporary Fiction,75000000,34636443,43000000,77636443,March
2005-09-23,2005,Magnificent Desolation,Documentary,Live Action,Factual,0,34126126,5720770,39846896,September
2005-08-31,2005,The Constant Gardener,Thriller/Suspense,Live Action,Historical Fiction,25500000,33579798,52721801,86301599,August
2005-10-21,2005,Dreamer: Inspired by a True Story,Drama,Live Action,Dramatization,32000000,33022286,6476074,39498360,October
2005-10-07,2005,In Her Shoes,Drama,Live Action,Contemporary Fiction,0,32880591,49322439,82203030,October
2005-07-22,2005,The Bad News Bears,Comedy,Live Action,Contemporary Fiction,35000000,32868349,632271,33500620,July
2005-02-18,2005,Because of Winn-Dixie,Comedy,Live Action,Contemporary Fiction,15000000,32647042,861443,33508485,February
2005-11-23,2005,Just Friends,Romantic Comedy,Live Action,Contemporary Fiction,0,32596916,10200763,42797679,November
2005-07-29,2005,Stealth,Action,Live Action,Science Fiction,138000000,32116746,44300000,76416746,July
2005-05-06,2005,House of Wax,Horror,Live Action,Contemporary Fiction,35000000,32064800,38000000,70064800,May
2005-02-04,2005,The Wedding Date,Romantic Comedy,Live Action,Contemporary Fiction,15000000,31726995,15448043,47175038,February
2005-10-07,2005,"Good Night, and Good Luck",Drama,Live Action,Dramatization,7000000,31501218,25085683,56586901,October
2005-09-23,2005,A History of Violence,Thriller/Suspense,Live Action,Contemporary Fiction,32000000,31493782,29984015,61477797,September
2005-11-09,2005,Get Rich or Die Tryin',Drama,Live Action,Contemporary Fiction,40000000,30981850,15685105,46666955,November
2005-10-14,2005,The Fog,Horror,Live Action,Contemporary Fiction,18000000,29511112,7537414,37048526,October
2005-11-23,2005,Rent,Musical,Live Action,Historical Fiction,40000000,29077547,2593073,31670620,November
2005-09-30,2005,Capote,Drama,Live Action,Dramatization,7000000,28750530,21173549,49924079,September
2005-10-21,2005,Doom,Horror,Live Action,Science Fiction,70000000,28212337,30544841,58757178,October
2005-11-11,2005,Zathura,Adventure,Animation/Live Action,Fantasy,65000000,28045540,30500000,58545540,November
2005-04-29,2005,XXX: State of the Union,Action,Live Action,Contemporary Fiction,60000000,26873932,44200000,71073932,April
2005-10-14,2005,Elizabethtown,Drama,Live Action,Contemporary Fiction,54000000,26850426,23868947,50719373,October
2005-12-02,2005,Aeon Flux,Action,Live Action,Science Fiction,55000000,25857987,28055586,53913573,December
2005-09-30,2005,Serenity,Action,Animation/Live Action,Science Fiction,39000000,25514517,14804923,40319440,September
2005-07-08,2005,Dark Water,Horror,Live Action,Fantasy,60000000,25473093,24000000,49473093,July
2006-07-07,2006,Pirates of the Caribbean: Dead Man’…,Adventure,Live Action,Historical Fiction,225000000,423315812,642863913,1066179725,July
2006-12-22,2006,Night at the Museum,Adventure,Live Action,Kids Fiction,110000000,250863268,328583139,579446407,December
2006-06-09,2006,Cars,Adventure,Digital Animation,Kids Fiction,70000000,244082982,217547576,461630558,June
2006-05-26,2006,X-Men: The Last Stand,Action,Live Action,Super Hero,210000000,234362462,224898484,459260946,May
2006-05-19,2006,The Da Vinci Code,Thriller/Suspense,Live Action,Contemporary Fiction,125000000,217536138,550284321,767820459,May
2006-06-28,2006,Superman Returns,Adventure,Live Action,Super Hero,232000000,200120000,190961192,391081192,June
2006-11-17,2006,Happy Feet,Adventure,Digital Animation,Kids Fiction,85000000,198000317,186999998,385000315,November
2006-03-31,2006,Ice Age: The Meltdown,Adventure,Digital Animation,Kids Fiction,75000000,195330621,456568661,651899282,March
2006-11-17,2006,Casino Royale,Action,Live Action,Contemporary Fiction,102000000,167365000,427055216,594420216,November
2006-12-15,2006,The Pursuit of Happyness,Drama,Live Action,Dramatization,55000000,162586036,144725057,307311093,December
2006-05-19,2006,Over the Hedge,Adventure,Digital Animation,Kids Fiction,80000000,155019340,188377907,343397247,May
2006-08-04,2006,Talladega Nights: The Ballad of Ricky…,Comedy,Live Action,Contemporary Fiction,73000000,148213377,14657148,162870525,August
2006-06-23,2006,Click,Comedy,Live Action,Fantasy,82500000,137355633,100329456,237685089,June
2006-05-05,2006,Mission: Impossible III,Action,Live Action,Contemporary Fiction,150000000,133501348,265886397,399387745,May
2006-10-06,2006,The Departed,Drama,Live Action,Contemporary Fiction,90000000,132384315,157276304,289660619,October
2006-11-03,2006,Borat,Comedy,Live Action,Contemporary Fiction,18000000,128505958,132937284,261443242,November
2006-06-30,2006,The Devil Wears Prada,Comedy,Live Action,Contemporary Fiction,35000000,124740460,201332695,326073155,June
2006-06-02,2006,The Break-Up,Romantic Comedy,Live Action,Contemporary Fiction,52000000,118703275,87024032,205727307,June
2006-12-15,2006,Dreamgirls,Musical,Live Action,Historical Fiction,75000000,103365956,52254394,155620350,December
2006-04-14,2006,Scary Movie 4,Comedy,Live Action,Contemporary Fiction,40000000,90710620,88000000,178710620,April
2006-03-10,2006,Failure to Launch,Romantic Comedy,Live Action,Contemporary Fiction,50000000,88715192,39687709,128402901,March
2006-03-24,2006,Inside Man,Thriller/Suspense,Live Action,Contemporary Fiction,50000000,88634237,97164028,185798265,March
2006-09-29,2006,Open Season,Adventure,Digital Animation,Kids Fiction,85000000,85105259,106826899,191932158,September
2006-11-03,2006,The Santa Clause 3: The Escape Clause,Adventure,Live Action,Kids Fiction,0,84500122,23000000,107500122,November
2006-12-15,2006,Charlotte's Web,Drama,Live Action,Kids Fiction,82500000,82985708,61000000,143985708,December
2006-02-10,2006,The Pink Panther,Adventure,Live Action,Historical Fiction,80000000,82226474,76700000,158926474,February
2006-02-17,2006,Eight Below,Adventure,Live Action,Contemporary Fiction,40000000,81612565,38843429,120455994,February
2006-10-27,2006,Saw III,Horror,Live Action,Contemporary Fiction,10000000,80238724,83638091,163876815,October
2006-06-16,2006,Nacho Libre,Comedy,Live Action,Contemporary Fiction,32000000,80197993,19098469,99296462,June
2006-07-14,2006,"You, Me and Dupree",Comedy,Live Action,Contemporary Fiction,54000000,75802010,54600000,130402010,July
2006-12-15,2006,Eragon,Adventure,Animation/Live Action,Fantasy,100000000,75030163,174457952,249488115,December
2006-07-21,2006,Monster House,Adventure,Digital Animation,Kids Fiction,75000000,73661010,67606360,141267370,July
2006-08-04,2006,Barnyard: The Original Party Animals,Adventure,Digital Animation,Kids Fiction,51000000,72779000,45804844,118583844,August
2006-09-22,2006,Jackass: Number Two,Documentary,Live Action,Factual,11000000,72778712,12500000,85278712,September
2006-04-28,2006,R.V.,Adventure,Live Action,Contemporary Fiction,55000000,71724497,15748527,87473024,April
2006-03-17,2006,V for Vendetta,Action,Live Action,Science Fiction,50000000,70511035,59703127,130214162,March
2006-08-09,2006,World Trade Center,Drama,Live Action,Dramatization,65000000,70278893,93016761,163295654,August
2006-12-20,2006,Rocky Balboa,Drama,Live Action,Contemporary Fiction,24000000,70269899,85959151,156229050,December
2006-01-27,2006,Big Momma's House 2,Comedy,Live Action,Contemporary Fiction,40000000,70165972,66881404,137047376,January
2006-08-11,2006,Step Up,Drama,Live Action,Contemporary Fiction,12000000,65328121,45661036,110989157,August
2006-11-03,2006,Flushed Away,Adventure,Digital Animation,Kids Fiction,149000000,64665672,114691454,179357126,November
2006-11-22,2006,Déjà Vu,Thriller/Suspense,Live Action,Science Fiction,80000000,64038616,117000000,181038616,November
2006-03-03,2006,Deep Sea 3D,Documentary,Live Action,Factual,0,63857503,41778182,105635685,March
2006-07-28,2006,Miami Vice,Action,Live Action,Contemporary Fiction,135000000,63478838,101441238,164920076,July
2006-12-08,2006,The Holiday,Romantic Comedy,Live Action,Contemporary Fiction,85000000,63280000,141640447,204920447,December
2006-02-24,2006,Madea's Family Reunion,Comedy,Live Action,Contemporary Fiction,10000000,63257940,62581,63320521,February
2006-06-16,2006,The Fast and the Furious: Tokyo Drift,Action,Live Action,Contemporary Fiction,85000000,62615510,95178695,157794205,June
2006-01-20,2006,Underworld: Evolution,Action,Live Action,Fantasy,45000000,62318875,51098887,113417762,January
2006-03-10,2006,The Shaggy Dog,Comedy,Live Action,Fantasy,60000000,61123569,26000000,87123569,March
2006-05-12,2006,Poseidon,Adventure,Live Action,Contemporary Fiction,160000000,60674817,121000000,181674817,May
2006-12-22,2006,The Good Shepherd,Drama,Live Action,Dramatization,80000000,59908565,40469706,100378271,December
2006-07-26,2006,Little Miss Sunshine,Comedy,Live Action,Contemporary Fiction,8000000,59891098,40751255,100642353,July
2006-04-07,2006,The Benchwarmers,Comedy,Live Action,Contemporary Fiction,35000000,59843754,5219972,65063726,April
2006-02-10,2006,Curious George,Adventure,Hand Animation,Contemporary Fiction,50000000,58640119,12412485,71052604,February
2006-07-14,2006,Little Man,Comedy,Live Action,Contemporary Fiction,64000000,58636047,43000000,101636047,July
2006-08-25,2006,Invincible,Drama,Live Action,Dramatization,40000000,57806952,694175,58501127,August
2006-12-08,2006,Blood Diamond,Action,Live Action,Historical Fiction,100000000,57377916,114000000,171377916,December
2006-09-30,2006,The Queen,Drama,Live Action,Dramatization,15000000,56441711,72444162,128885873,September
2006-09-29,2006,The Guardian,Action,Live Action,Contemporary Fiction,70000000,55011732,39961808,94973540,September
2006-06-06,2006,The Omen,Horror,Live Action,Contemporary Fiction,25000000,54607383,64688201,119295584,June
2006-02-10,2006,Final Destination 3,Horror,Live Action,Contemporary Fiction,25000000,54098051,58700000,112798051,February
2006-10-20,2006,The Prestige,Thriller/Suspense,Live Action,Historical Fiction,40000000,53089891,51317475,104407366,October
2006-06-16,2006,The Lake House,Drama,Live Action,Contemporary Fiction,40000000,52330111,62500000,114830111,June
2006-01-13,2006,Hoodwinked,Adventure,Digital Animation,Kids Fiction,17500000,51386611,58456779,109843390,January
2006-12-08,2006,Apocalypto,Action,Live Action,Historical Fiction,40000000,50866635,70165637,121032272,December
2006-02-10,2006,Firewall,Thriller/Suspense,Live Action,Contemporary Fiction,50000000,48751189,34000000,82751189,February
2006-02-17,2006,Date Movie,Comedy,Live Action,Contemporary Fiction,20000000,48548426,36597739,85146165,February
2006-02-03,2006,When a Stranger Calls,Horror,Live Action,Contemporary Fiction,15000000,47860214,19355221,67215435,February
2006-01-06,2006,Hostel,Horror,Live Action,Contemporary Fiction,4800000,47326473,34914637,82241110,January
2006-01-27,2006,Nanny McPhee,Adventure,Live Action,Fantasy,25000000,47279279,81466299,128745578,January
2006-04-21,2006,Silent Hill,Horror,Live Action,Contemporary Fiction,50000000,46982632,47721595,94704227,April
2006-12-22,2006,We Are Marshall,Drama,Live Action,Dramatization,65000000,43545364,0,43545364,December
2006-01-13,2006,Glory Road,Drama,Live Action,Dramatization,30000000,42647449,151611,42799060,January
2006-07-21,2006,Lady in the Water,Thriller/Suspense,Live Action,Fantasy,75000000,42285169,30500000,72785169,July
2006-03-10,2006,The Hills Have Eyes,Horror,Live Action,Contemporary Fiction,17000000,41778863,28576950,70355813,March
2006-07-28,2006,John Tucker Must Die,Romantic Comedy,Live Action,Contemporary Fiction,0,41011711,27812815,68824526,July
2006-11-10,2006,Stranger Than Fiction,Comedy,Live Action,Contemporary Fiction,30000000,40435190,13137632,53572822,November
2006-08-18,2006,The Illusionist,Drama,Live Action,Historical Fiction,16500000,39868642,43923420,83792062,August
2006-10-06,2006,The Texas Chainsaw Massacre: The Begi…,Horror,Live Action,Historical Fiction,16000000,39517763,11000000,50517763,October
2006-10-13,2006,The Grudge 2,Horror,Live Action,Contemporary Fiction,20000000,39143839,31600000,70743839,October
2006-09-15,2006,Gridiron Gang,Drama,Live Action,Dramatization,30000000,38432823,3025011,41457834,September
2006-01-13,2006,Last Holiday,Comedy,Live Action,Contemporary Fiction,45000000,38399961,4943286,43343247,January
2006-12-29,2006,El Laberinto del Fauno,Horror,Live Action,Historical Fiction,16000000,37634615,49406954,87041569,December
2006-12-01,2006,The Nativity Story,Drama,Live Action,Dramatization,35000000,37629831,8679813,46309644,December
2006-10-13,2006,Man of the Year,Comedy,Live Action,Contemporary Fiction,20000000,37442180,3900000,41342180,October
2006-04-14,2006,The Wild,Adventure,Digital Animation,Contemporary Fiction,80000000,37384046,61626621,99010667,April
2006-03-03,2006,16 Blocks,Action,Live Action,Contemporary Fiction,45000000,36895141,28700000,65595141,March
2006-08-18,2006,Accepted,Comedy,Live Action,Contemporary Fiction,0,36580083,1734720,38314803,August
2006-04-21,2006,The Sentinel,Thriller/Suspense,Live Action,Contemporary Fiction,60000000,36280697,41800000,78080697,April
2006-12-25,2006,Children of Men,Thriller/Suspense,Live Action,Science Fiction,76000000,35552383,34292628,69845011,December
2006-11-22,2006,Deck the Halls,Comedy,Live Action,Contemporary Fiction,51000000,35093569,11722238,46815807,November
2006-04-07,2006,Take the Lead,Drama,Live Action,Dramatization,30000000,34742066,30648427,65390493,April
2006-10-27,2006,Babel,Drama,Live Action,Contemporary Fiction,20000000,34302837,97818375,132121212,October
2006-08-18,2006,Snakes on a Plane,Thriller/Suspense,Live Action,Contemporary Fiction,33000000,34020814,28000000,62020814,August
2006-03-17,2006,She’s the Man,Romantic Comedy,Live Action,Contemporary Fiction,25000000,33889159,21390449,55279608,March
2006-10-20,2006,Flags of Our Fathers,Drama,Live Action,Historical Fiction,53000000,33602376,30055565,63657941,October
2006-04-28,2006,United 93,Drama,Live Action,Dramatization,18000000,31567134,46067901,77635035,April
2006-10-06,2006,Employee of the Month,Comedy,Live Action,Contemporary Fiction,10000000,28444855,9920000,38364855,October
2006-06-16,2006,Garfield: A Tail of Two Kitties,Adventure,Animation/Live Action,Kids Fiction,60000000,28426747,119558626,147985373,June
2006-07-28,2006,The Ant Bully,Adventure,Digital Animation,Kids Fiction,45000000,28142535,21468363,49610898,July
2007-05-04,2007,Spider-Man 3,Adventure,Live Action,Super Hero,258000000,336530303,558329927,894860230,May
2007-05-17,2007,Shrek the Third,Adventure,Digital Animation,Kids Fiction,160000000,322719944,484610992,807330936,May
2007-07-02,2007,Transformers,Action,Animation/Live Action,Science Fiction,151000000,319246193,389026399,708272592,July
2007-05-24,2007,Pirates of the Caribbean: At World’…,Adventure,Live Action,Historical Fiction,300000000,309420425,651576067,960996492,May
2007-07-11,2007,Harry Potter and the Order of the Pho…,Adventure,Animation/Live Action,Fantasy,150000000,292137260,647482589,939619849,July
2007-12-14,2007,I am Legend,Thriller/Suspense,Live Action,Science Fiction,150000000,256393010,329139674,585532684,December
2007-08-03,2007,The Bourne Ultimatum,Thriller/Suspense,Live Action,Contemporary Fiction,130000000,227471070,216572326,444043396,August
2007-12-21,2007,National Treasure: Book of Secrets,Adventure,Live Action,Contemporary Fiction,0,219961501,237364303,457325804,December
2007-12-14,2007,Alvin and the Chipmunks,Adventure,Animation/Live Action,Kids Fiction,55000000,217326974,145278059,362605033,December
2007-03-09,2007,300,Action,Animation/Live Action,Historical Fiction,60000000,210614939,243546996,454161935,March
2007-06-29,2007,Ratatouille,Adventure,Digital Animation,Kids Fiction,150000000,206445654,420104041,626549695,June
2007-07-27,2007,The Simpsons Movie,Adventure,Digital Animation,Contemporary Fiction,72500000,183135014,343936008,527071022,July
2007-03-02,2007,Wild Hogs,Comedy,Live Action,Contemporary Fiction,60000000,168213584,85341799,253555383,March
2007-06-01,2007,Knocked Up,Romantic Comedy,Live Action,Contemporary Fiction,27500000,148761765,70504187,219265952,June
2007-12-05,2007,Juno,Comedy,Live Action,Contemporary Fiction,7000000,143495265,87954837,231450102,December
2007-08-10,2007,Rush Hour 3,Action,Live Action,Contemporary Fiction,180000000,140125968,116459914,256585882,August
2007-06-27,2007,Live Free or Die Hard,Action,Live Action,Contemporary Fiction,110000000,134529403,247758744,382288147,June
2007-06-15,2007,Fantastic Four: Rise of the Silver Su…,Action,Live Action,Super Hero,120000000,131921738,157558953,289480691,June
2007-11-02,2007,American Gangster,Drama,Live Action,Dramatization,100000000,130164645,137820811,267985456,November
2007-11-21,2007,Enchanted,Romantic Comedy,Animation/Live Action,Fantasy,85000000,127706877,212677264,340384141,November
2007-11-02,2007,Bee Movie,Adventure,Digital Animation,Kids Fiction,150000000,126631277,160963300,287594577,November
2007-08-17,2007,Superbad,Comedy,Live Action,Contemporary Fiction,17500000,121463226,48491916,169955142,August
2007-07-20,2007,I Now Pronounce You Chuck and Larry,Comedy,Live Action,Contemporary Fiction,85000000,119725280,65983182,185708462,July
2007-07-20,2007,Hairspray,Musical,Live Action,Historical Fiction,75000000,118871849,83951012,202822861,July
2007-03-30,2007,Blades of Glory,Comedy,Live Action,Contemporary Fiction,61000000,118594548,27000000,145594548,March
2007-06-08,2007,Ocean's Thirteen,Adventure,Live Action,Contemporary Fiction,85000000,117144465,194600000,311744465,June
2007-02-16,2007,Ghost Rider,Action,Live Action,Super Hero,120000000,115802596,113742993,229545589,February
2007-06-22,2007,Evan Almighty,Comedy,Live Action,Fantasy,175000000,100289690,73841639,174131329,June
2007-03-30,2007,Meet the Robinsons,Adventure,Digital Animation,Science Fiction,0,97822171,72730548,170552719,March
2007-02-09,2007,Norbit,Comedy,Live Action,Contemporary Fiction,0,95673607,63300000,158973607,February
2007-12-25,2007,The Bucket List,Comedy,Live Action,Contemporary Fiction,45000000,93466502,81340943,174807445,December
2007-09-28,2007,The Game Plan,Comedy,Live Action,Contemporary Fiction,22000000,90648202,55942785,146590987,September
2007-11-16,2007,Beowulf,Adventure,Digital Animation,Fantasy,150000000,82280579,112800000,195080579,November
2007-02-16,2007,Bridge to Terabithia,Drama,Live Action,Contemporary Fiction,25000000,82234139,55750649,137984788,February
2007-04-13,2007,Disturbia,Thriller/Suspense,Live Action,Contemporary Fiction,20000000,80818974,37718653,118537627,April
2007-11-09,2007,No Country for Old Men,Action,Live Action,Historical Fiction,25000000,74273505,89762248,164035753,November
2007-11-09,2007,Fred Claus,Comedy,Live Action,Contemporary Fiction,0,72006777,25830861,97837638,November
2007-06-22,2007,1408,Horror,Live Action,Contemporary Fiction,22500000,71985628,59277742,131263370,June
2007-12-07,2007,The Golden Compass,Adventure,Live Action,Fantasy,205000000,70107728,297154830,367262558,December
2007-12-21,2007,Charlie Wilson’s War,Drama,Live Action,Dramatization,75000000,66661095,52851676,119512771,December
2007-10-26,2007,Saw IV,Horror,Live Action,Contemporary Fiction,10000000,63300095,72459599,135759694,October
2007-01-12,2007,Stomp the Yard,Drama,Live Action,Contemporary Fiction,14000000,61356221,14169497,75525718,January
2007-06-08,2007,Surf’s Up,Adventure,Digital Animation,Kids Fiction,100000000,58867694,86528051,145395745,June
2007-08-31,2007,Halloween,Horror,Live Action,Fantasy,15000000,58269151,19245250,77514401,August
2007-10-12,2007,Why Did I Get Married?,Comedy,Live Action,Contemporary Fiction,15000000,55204525,729653,55934178,October
2007-03-23,2007,TMNT,Action,Digital Animation,Science Fiction,35000000,54149098,41946920,96096018,March
2007-12-21,2007,P.S. I Love You,Romantic Comedy,Live Action,Contemporary Fiction,30000000,53695808,102073870,155769678,December
2007-09-07,2007,3:10 to Yuma,Western,Live Action,Historical Fiction,48000000,53606916,17564909,71171825,September
2007-12-21,2007,Sweeney Todd: The Demon Barber of Fle…,Musical,Live Action,Historical Fiction,0,52898073,100431771,153329844,December
2007-12-07,2007,Atonement,Drama,Live Action,Historical Fiction,30000000,50980159,78799569,129779728,December
2007-09-21,2007,Resident Evil: Extinction,Horror,Live Action,Science Fiction,45000000,50648679,99222424,149871103,September
2007-02-14,2007,Music and Lyrics,Romantic Comedy,Live Action,Contemporary Fiction,40000000,50572589,95624296,146196885,February
2007-04-04,2007,Are We Done Yet?,Comedy,Live Action,Contemporary Fiction,0,49662533,8725535,58388068,April
2007-11-21,2007,This Christmas,Drama,Live Action,Contemporary Fiction,13000000,49121934,611611,49733545,November
2007-10-05,2007,Michael Clayton,Drama,Live Action,Contemporary Fiction,21500000,49033882,43953769,92987651,October
2007-03-16,2007,Premonition,Thriller/Suspense,Live Action,Contemporary Fiction,20000000,47852604,36294228,84146832,March
2007-10-26,2007,Dan in Real Life,Romantic Comedy,Live Action,Contemporary Fiction,0,47642963,18026038,65669001,October
2007-09-28,2007,The Kingdom,Action,Live Action,Contemporary Fiction,72500000,47467250,39335207,86802457,September
2007-03-23,2007,Shooter,Thriller/Suspense,Live Action,Contemporary Fiction,60000000,47003582,48534978,95538560,March
2007-07-03,2007,License to Wed,Romantic Comedy,Live Action,Contemporary Fiction,35000000,43799818,26387270,70187088,July
2007-08-03,2007,Underdog,Adventure,Animation/Live Action,Fantasy,0,43760605,21272723,65033328,August
2007-07-27,2007,No Reservations,Romantic Comedy,Live Action,Contemporary Fiction,28000000,43107979,48835977,91943956,July
2007-02-02,2007,Because I Said So,Romantic Comedy,Live Action,Contemporary Fiction,39000000,42674040,26864793,69538833,February
2007-12-25,2007,Aliens vs. Predator - Requiem,Action,Live Action,Science Fiction,40000000,41797066,87087428,128884494,December
2007-12-25,2007,The Water Horse: Legend of the Deep,Adventure,Live Action,Fantasy,40000000,40412817,63016938,103429755,December
2007-12-26,2007,There Will Be Blood,Drama,Live Action,Historical Fiction,25000000,40222514,36986158,77208672,December
2007-01-26,2007,Epic Movie,Comedy,Live Action,Contemporary Fiction,20000000,39739367,47119211,86858578,January
2007-11-21,2007,Hitman,Action,Live Action,Contemporary Fiction,24000000,39687694,59447877,99135571,November
2007-10-19,2007,30 Days of Night,Horror,Live Action,Fantasy,30000000,39568996,40707160,80276156,October
2007-04-20,2007,Fracture,Thriller/Suspense,Live Action,Contemporary Fiction,0,39004700,50200000,89204700,April
2007-08-10,2007,Stardust,Adventure,Live Action,Fantasy,70000000,38634938,98387307,137022245,August
2007-09-14,2007,The Brave One,Thriller/Suspense,Live Action,Contemporary Fiction,70000000,36793804,32998900,69792704,September
2007-10-05,2007,The Heartbreak Kid,Romantic Comedy,Live Action,Contemporary Fiction,0,36787257,90981533,127768790,October
2007-01-05,2007,Freedom Writers,Drama,Live Action,Dramatization,21000000,36605602,7027007,43632609,January
2007-01-26,2007,Smokin' Aces,Comedy,Live Action,Contemporary Fiction,17000000,35662731,21600709,57263440,January
2007-02-02,2007,The Messengers,Horror,Live Action,Fantasy,16000000,35374833,18400000,53774833,February
2007-02-23,2007,The Number 23,Thriller/Suspense,Live Action,Contemporary Fiction,32000000,35193167,42400000,77593167,February
2007-09-21,2007,Good Luck Chuck,Romantic Comedy,Live Action,Contemporary Fiction,25000000,35017297,25692671,60709968,September
2007-08-24,2007,Mr. Bean’s Holiday,Adventure,Live Action,Contemporary Fiction,25000000,33302167,201679175,234981342,August
2007-03-02,2007,Zodiac,Drama,Live Action,Dramatization,85000000,33080084,49947854,83027938,March
2007-02-16,2007,Breach,Thriller/Suspense,Live Action,Dramatization,0,33000880,1457899,34458779,February
